Year,County,Waterbody,Town,Month,Number,Species,Size
2018,Suffolk,Rattlesnake Creek,Islip,May,170.0,Rainbow Trout,8.9
2016,Franklin,St. Regis River,Dickinson,May,1600.0,Rainbow Trout,9.6
2013,Dutchess,Webatuck Creek,Northeast,April,1020.0,Brown Trout,8.7
2013,Otsego,Wharton Creek,Burlington,April,100.0,Brown Trout,13.5
2014,Cayuga,Otter Lake,Cato,June,5200.0,Walleye,1.6
2019,Jefferson,Black River,Watertown,May,1400.0,Brown Trout,13.4
2013,Wyoming,Cattaraugus Creek,Java,May,1240.0,Brown Trout,9.0
2019,Warren,North Creek,Johnsburg,April,1300.0,Brook Trout,7.7
2012,Broome,Oquaga Creek,Sanford,April,80.0,Brown Trout,13.0
2017,Washington,Inman Pond,Fort Ann,September,250.0,Brook Trout,5.0
2015,Delaware,Delaware River West Branch,"Hamden, Walton",April,480.0,Brown Trout,12.9
2014,Sullivan,Sandburg Creek,Fallsburg,April,20.0,Brown Trout,13.5
2020,Washington,Inman Pond,Fort Ann,September,170.0,Brook Trout,4.0
2012,Erie,Cazenovia Creek-East Branch,Aurora,April,440.0,Brown Trout,8.2
2016,Essex,Boreas River,North Hudson,April,800.0,Brook Trout,8.0
2015,Wyoming,Cattaraugus Creek,Java,May,1450.0,Brown Trout,9.4
2015,Hamilton,Little Rock Lake,Morehouse,September,300.0,Brook Trout,4.3
2019,St Lawrence,Grass River,Russell,June,800.0,Brown Trout,7.9
2016,Nassau,Upper Twin Pond,Hempstead,October,800.0,Brown Trout,12.0
2016,Essex,North Branch Boquet River,Willsboro,April,600.0,Brown Trout,13.0
2020,Broome,Oquaga Creek,Sanford,April,160.0,Brown Trout,13.1
2015,Franklin,Horseshoe Pond,Santa Clara,September,4000.0,Brook Trout,4.0
2013,Hamilton,South Branch West Canada Creek,"Hoffmeister,Morehouseville",May,2000.0,Brook Trout,9.3
2013,Fulton,Caroga Creek,"Johnstown, Caroga",April,800.0,Brown Trout,7.9
2015,Madison,Chenango River,Eaton,April,640.0,Brown Trout,7.9
2011,Saratoga,Cole Brook,Northumberland,April,510.0,Brown Trout,8.1
2019,Suffolk,West Lake,Brookhaven,March,300.0,Brown Trout,13.2
2017,Essex,Spruce Mill Brook,Lewis,May,250.0,Brown Trout,8.2
2011,Dutchess,Ten Mile River,Amenia,March,100.0,Brown Trout,12.8
2014,St Lawrence,Oswegatchie River,Clifton,April,2000.0,Brook Trout,8.5
2019,Franklin,Deer Pond,Santa Clara,May,470.0,Brown Trout,8.0
2016,Chautauqua,Bear Lake,Pomfret,October,550.0,Muskellunge,8.7
2015,Schoharie,Cobleskill (M. Cornwell cooper,Gilboa,September,1800.0,Tiger Muskellunge,9.3
2011,Delaware,Beaver Kill,Colchester,April,300.0,Brown Trout,13.2
2014,Greene,Schoharie Creek,"Jewett, Hunter",May,1030.0,Brown Trout,9.0
2011,Wayne,Lake Ontario,Sodus,May,940.0,Lake Trout,6.5
2013,Allegany,Dyke Creek,Andover,May,870.0,Brown Trout,8.9
2017,Essex,Schroon River,Schroon,May,24000.0,Landlocked Salmon,1.0
2012,Seneca,Seneca Lake,Lodi,September,9000.0,Brown Trout,9.9
2012,Oneida,Fish Creek West Branch,Camden,April,2040.0,Brown Trout,8.2
2015,St Lawrence,Oswegatchie River,Clifton,May,340.0,Brown Trout,13.4
2018,Fulton,Knapps Long Lake,Stratford,October,400.0,Brook Trout,4.6
2011,Oswego,Black Creek,Scriba,April,420.0,Brown Trout,7.5
2016,Ulster,Beer Kill,Wawarsing,April,730.0,Brown Trout,9.0
2013,Warren,Crandall Park Pond,Glens Falls,April,10.0,Rainbow Trout,14.5
2014,Chemung,Newtown Creek,Horseheads,March,80.0,Brown Trout,13.9
2016,Herkimer,North Lake,Ohio,April,2530.0,Splake,8.3
2019,Sullivan,Sandburg Creek,Fallsburg,May,90.0,Brown Trout,9.0
2018,St Lawrence,Little River,Fine,May,1700.0,Brook Trout,8.0
2020,Franklin,Twelth Tee Pond,Santa Clara,October,200.0,Brook Trout,4.5
2014,Dutchess,Roeliff Jansen Kill,Milan,March,400.0,Brown Trout,13.8
2015,Niagara,Twelvemile Creek E Br,Wilson,April,7440.0,Steelhead,5.2
2011,Chautauqua,Chautauqua Lake,"Chautauqua, Ellery",June,23630.0,Walleye,1.6
2020,Chautauqua,Conewango Ck W Br,Villenova,April,480.0,Rainbow Trout,8.0
2019,Cattaraugus,Lime Lake,Machias,September,800.0,Tiger Muskellunge,8.5
2015,St Lawrence,Simmons Pond,Clifton,October,200.0,Brook Trout,4.5
2011,Lewis,Little Otter Lake,Greig,September,1200.0,Brook Trout,4.5
2014,Rensselaer,Kinderhook Creek,Nassau,May,2500.0,Brown Trout,8.3
2019,Wyoming,Letchworth Park Pond,Genesee Falls,May,300.0,Brook Trout,9.6
2014,Essex,East Branch Ausable River,Jay & Keene,April,2370.0,Rainbow Trout,8.4
2020,Clinton,Saranac River,Saranac,April,260.0,Brown Trout,13.1
2018,Lewis,Mad River,Montague,May,400.0,Brook Trout,8.4
2020,Chemung,Cayuta Creek,Van Etten,November,5000.0,Brown Trout,6.6
2017,Niagara,Lower Niagara River,Lewiston,May,37000.0,Steelhead,4.0
2017,Sullivan,Neversink River,Fallsburg,May,580.0,Brown Trout,8.6
2012,Oneida,Oneida Creek,Vernon,March,4170.0,Brown Trout,8.9
2018,Madison,Upper Lelands Pond,Eaton,May,1480.0,Brown Trout,8.3
2020,Sullivan,Willowemoc Creek,Rockland,May,960.0,Brown Trout,9.1
2017,Warren,Upper Siamese Pond,Johnsburg,May,800.0,Round Whitefish,1.5
2018,Otsego,Canadarago Lake,Exeter,June,40000.0,Walleye,1.3
2017,Chautauqua,Lake Erie,Dunkirk,April,16170.0,Brown Trout,8.7
2011,Hamilton,Indian River,Indian Lake,May,500.0,Brown Trout,13.6
2020,Greene,Kaaterskill,Catskill,April,100.0,Brown Trout,13.7
2019,St Lawrence,Dog Pond,Colton,September,600.0,Brook Trout,4.0
2020,Essex,Willsboro Club Pond 2,Willsboro,April,70.0,Brown Trout,8.4
2017,Wayne,S. Sanford (cooperator- Otsego,Wolcott,May,100000.0,Walleye,0.3
2014,St Lawrence,West Branch St. Regis River,Parishville and Stockholm,May,3870.0,Brown Trout,8.6
2019,Suffolk,Belmont Lake,Babylon,April,180.0,Brown Trout,8.8
2016,Orange,Moodna Creek,Cornwall,March,2000.0,Rainbow Trout,9.0
2016,Otsego,Basswood Pond,Burlington,June,300.0,Rainbow Trout,8.4
2020,Suffolk,Carlls River,Babylon,March,150.0,Rainbow Trout,9.0
2011,Herkimer,Little Salmon Lake,Ohio,October,1000.0,Brook Trout,4.8
2018,Sullivan,Ten Mile River,Cochecton,April,40.0,Brown Trout,13.1
2019,Franklin,Track Pond,Santa Clara,September,180.0,Brook Trout,4.0
2014,Oneida,Mohawk River,Western,May,860.0,Brown Trout,8.3
2011,Franklin,Little Ampersand Pond,Harrietstown,October,350.0,Brook Trout,5.2
2011,Franklin,Meadow Pond,Harrietstown,October,900.0,Brook Trout,4.8
2015,Warren,Hudson River,Johnsburg,May,4710.0,Brown Trout,8.1
2015,Franklin,Lake Colby,Harrietstown,May,2910.0,Brown Trout,7.8
2014,Clinton,Saranac River,Saranac,May,70.0,Brown Trout,9.2
2011,Nassau,Upper Twin Pond,Hempstead,November,700.0,Brown Trout,11.2
2018,Hamilton,Unknown Pond,Indian Lake,May,650.0,Brown Trout,7.1
2012,Franklin,Salmon River,Malone,May,350.0,Brown Trout,13.8
2019,Essex,East Branch Ausable River,Jay & Keene,April,3000.0,Rainbow Trout,8.0
2016,Delaware,Delaware River West Branch,Delhi,April,360.0,Brown Trout,13.7
2013,Orange,Walton Lake,Monroe,April,350.0,Brown Trout,13.3
2011,Cattaraugus,Elton Creek,Freedom,May,850.0,Brown Trout,9.0
2015,Cayuga,Little Sodus Bay,Sterling,May,25000.0,Chinook,3.7
2018,Jefferson,Crystal Lake,Theresa,May,370000.0,Walleye,0.3
2015,Madison,Oneida Creek,Smithfield,April,190.0,Brown Trout,7.9
